product,amount,date,region,customer
Laptop,1200,2024-01-15,North,John Doe
Mouse,25,2024-01-16,South,Jane Smith
Keyboard,75,2024-01-17,East,Bob Johnson
Monitor,300,2024-01-18,West,Alice Williams
Headphones,150,2024-01-19,North,Charlie Brown
Webcam,80,2024-01-20,South,Diana Prince
Speaker,120,2024-01-21,East,Edward Norton
Tablet,500,2024-01-22,West,Fiona Apple
Phone,800,2024-01-23,North,George Clooney
Charger,30,2024-01-24,South,Helen Hunt
Laptop,1100,2024-02-15,North,John Doe
Mouse,30,2024-02-16,South,Jane Smith
Keyboard,80,2024-02-17,East,Bob Johnson
Monitor,350,2024-02-18,West,Alice Williams
Headphones,160,2024-02-19,North,Charlie Brown
Webcam,90,2024-02-20,South,Diana Prince
Speaker,130,2024-02-21,East,Edward Norton
Tablet,550,2024-02-22,West,Fiona Apple
Phone,850,2024-02-23,North,George Clooney
Charger,35,2024-02-24,South,Helen Hunt

